Site,Bag_Col,Month,Bag_no,Mort_count,Month_no,Year,Month_year
Chelsea,Green,May,59,0,5,2023,May_2023
Chelsea,Green,May,70,0,5,2023,May_2023
Chelsea,Green,May,85,0,5,2023,May_2023
Chelsea,Green,May,86,0,5,2023,May_2023
Chelsea,Green,May,91,0,5,2023,May_2023
Chelsea,Green,May,72,0,5,2023,May_2023
Chelsea,Green,May,71,0,5,2023,May_2023
Chelsea,Green,May,12,0,5,2023,May_2023
Chelsea,Blue,May,27,0,5,2023,May_2023
Chelsea,Blue,May,29,0,5,2023,May_2023
Chelsea,Blue,May,37,0,5,2023,May_2023
Chelsea,Blue,May,46,0,5,2023,May_2023
Chelsea,Blue,May,48,0,5,2023,May_2023
Chelsea,Blue,May,49,0,5,2023,May_2023
Chelsea,Blue,May,65,0,5,2023,May_2023
Chelsea,Blue,May,74,0,5,2023,May_2023
Chelsea,Red,May,17,0,5,2023,May_2023
Chelsea,Red,May,22,0,5,2023,May_2023
Chelsea,Red,May,35,0,5,2023,May_2023
Chelsea,Red,May,39,0,5,2023,May_2023
Chelsea,Red,May,26,0,5,2023,May_2023
Chelsea,Red,May,30,0,5,2023,May_2023
Chelsea,Red,May,48,0,5,2023,May_2023
Chelsea,Red,May,50,0,5,2023,May_2023
Manchester,Green,May,58,1,5,2023,May_2023
Manchester,Green,May,60,0,5,2023,May_2023
Manchester,Green,May,79,0,5,2023,May_2023
Manchester,Green,May,84,0,5,2023,May_2023
Manchester,Green,May,89,0,5,2023,May_2023
Manchester,Green,May,80,0,5,2023,May_2023
Manchester,Green,May,100,0,5,2023,May_2023
Manchester,Green,May,11,0,5,2023,May_2023
Manchester,Blue,May,28,0,5,2023,May_2023
Manchester,Blue,May,54,0,5,2023,May_2023
Manchester,Blue,May,68,0,5,2023,May_2023
Manchester,Blue,May,88,0,5,2023,May_2023
Manchester,Blue,May,58,0,5,2023,May_2023
Manchester,Blue,May,75,0,5,2023,May_2023
Manchester,Blue,May,63,0,5,2023,May_2023
Manchester,Blue,May,47,0,5,2023,May_2023
Manchester,Red,May,3,0,5,2023,May_2023
Manchester,Red,May,29,0,5,2023,May_2023
Manchester,Red,May,34,0,5,2023,May_2023
Manchester,Red,May,40,1,5,2023,May_2023
Manchester,Red,May,8,0,5,2023,May_2023
Manchester,Red,May,46,0,5,2023,May_2023
Manchester,Red,May,10,0,5,2023,May_2023
Manchester,Red,May,11,0,5,2023,May_2023
Hood Head,Green,May,73,0,5,2023,May_2023
Hood Head,Green,May,88,0,5,2023,May_2023
Hood Head,Green,May,14,0,5,2023,May_2023
Hood Head,Green,May,93,0,5,2023,May_2023
Hood Head,Green,May,77,0,5,2023,May_2023
Hood Head,Green,May,75,0,5,2023,May_2023
Hood Head,Green,May,98,0,5,2023,May_2023
Hood Head,Green,May,13,0,5,2023,May_2023
Hood Head,Blue,May,31,0,5,2023,May_2023
Hood Head,Blue,May,34,0,5,2023,May_2023
Hood Head,Blue,May,44,0,5,2023,May_2023
Hood Head,Blue,May,70,0,5,2023,May_2023
Hood Head,Blue,May,54,0,5,2023,May_2023
Hood Head,Blue,May,43,0,5,2023,May_2023
Hood Head,Blue,May,61,0,5,2023,May_2023
Hood Head,Blue,May,73,0,5,2023,May_2023
Hood Head,Red,May,23,0,5,2023,May_2023
Hood Head,Red,May,28,0,5,2023,May_2023
Hood Head,Red,May,33,0,5,2023,May_2023
Hood Head,Red,May,36,0,5,2023,May_2023
Hood Head,Red,May,2,0,5,2023,May_2023
Hood Head,Red,May,20,0,5,2023,May_2023
Hood Head,Red,May,24,0,5,2023,May_2023
Hood Head,Red,May,27,0,5,2023,May_2023
Thorndyke Bay,Green,May,69,0,5,2023,May_2023
Thorndyke Bay,Green,May,74,0,5,2023,May_2023
Thorndyke Bay,Green,May,83,0,5,2023,May_2023
Thorndyke Bay,Green,May,97,1,5,2023,May_2023
Thorndyke Bay,Green,May,67,0,5,2023,May_2023
Thorndyke Bay,Green,May,99,0,5,2023,May_2023
Thorndyke Bay,Green,May,81,0,5,2023,May_2023
Thorndyke Bay,Green,May,57,1,5,2023,May_2023
Thorndyke Bay,Blue,May,36,0,5,2023,May_2023
Thorndyke Bay,Blue,May,41,0,5,2023,May_2023
Thorndyke Bay,Blue,May,59,0,5,2023,May_2023
Thorndyke Bay,Blue,May,72,0,5,2023,May_2023
Thorndyke Bay,Blue,May,35,0,5,2023,May_2023
Thorndyke Bay,Blue,May,52,0,5,2023,May_2023
Thorndyke Bay,Blue,May,64,0,5,2023,May_2023
Thorndyke Bay,Blue,May,67,0,5,2023,May_2023
Thorndyke Bay,Red,May,16,0,5,2023,May_2023
Thorndyke Bay,Red,May,18,0,5,2023,May_2023
Thorndyke Bay,Red,May,19,0,5,2023,May_2023
Thorndyke Bay,Red,May,49,0,5,2023,May_2023
Thorndyke Bay,Red,May,15,0,5,2023,May_2023
Thorndyke Bay,Red,May,9,0,5,2023,May_2023
Thorndyke Bay,Red,May,45,0,5,2023,May_2023
Thorndyke Bay,Red,May,37,0,5,2023,May_2023
Chelsea,Green,June,59,0,6,2023,June_2023
Chelsea,Green,June,70,0,6,2023,June_2023
Chelsea,Green,June,85,1,6,2023,June_2023
Chelsea,Green,June,86,0,6,2023,June_2023
Chelsea,Green,June,91,0,6,2023,June_2023
Chelsea,Green,June,72,0,6,2023,June_2023
Chelsea,Green,June,71,2,6,2023,June_2023
Chelsea,Green,June,12,0,6,2023,June_2023
Chelsea,Blue,June,27,0,6,2023,June_2023
Chelsea,Blue,June,29,0,6,2023,June_2023
Chelsea,Blue,June,37,0,6,2023,June_2023
Chelsea,Blue,June,46,0,6,2023,June_2023
Chelsea,Blue,June,48,0,6,2023,June_2023
Chelsea,Blue,June,49,1,6,2023,June_2023
Chelsea,Blue,June,65,0,6,2023,June_2023
Chelsea,Blue,June,74,0,6,2023,June_2023
Chelsea,Red,June,17,0,6,2023,June_2023
Chelsea,Red,June,22,0,6,2023,June_2023
Chelsea,Red,June,35,0,6,2023,June_2023
Chelsea,Red,June,39,1,6,2023,June_2023
Chelsea,Red,June,26,0,6,2023,June_2023
Chelsea,Red,June,30,0,6,2023,June_2023
Chelsea,Red,June,48,0,6,2023,June_2023
Chelsea,Red,June,50,0,6,2023,June_2023
Manchester,Green,June,58,0,6,2023,June_2023
Manchester,Green,June,60,0,6,2023,June_2023
Manchester,Green,June,79,0,6,2023,June_2023
Manchester,Green,June,84,0,6,2023,June_2023
Manchester,Green,June,89,0,6,2023,June_2023
Manchester,Green,June,80,0,6,2023,June_2023
Manchester,Green,June,100,0,6,2023,June_2023
Manchester,Green,June,11,0,6,2023,June_2023
Manchester,Blue,June,28,0,6,2023,June_2023
Manchester,Blue,June,54,0,6,2023,June_2023
Manchester,Blue,June,68,0,6,2023,June_2023
Manchester,Blue,June,88,0,6,2023,June_2023
Manchester,Blue,June,58,0,6,2023,June_2023
Manchester,Blue,June,75,0,6,2023,June_2023
Manchester,Blue,June,63,0,6,2023,June_2023
Manchester,Blue,June,47,0,6,2023,June_2023
Manchester,Red,June,3,0,6,2023,June_2023
Manchester,Red,June,29,0,6,2023,June_2023
Manchester,Red,June,34,0,6,2023,June_2023
Manchester,Red,June,40,0,6,2023,June_2023
Manchester,Red,June,8,0,6,2023,June_2023
Manchester,Red,June,46,0,6,2023,June_2023
Manchester,Red,June,10,0,6,2023,June_2023
Manchester,Red,June,11,0,6,2023,June_2023
Hood Head,Green,June,73,0,6,2023,June_2023
Hood Head,Green,June,88,0,6,2023,June_2023
Hood Head,Green,June,14,0,6,2023,June_2023
Hood Head,Green,June,93,0,6,2023,June_2023
Hood Head,Green,June,77,0,6,2023,June_2023
Hood Head,Green,June,75,0,6,2023,June_2023
Hood Head,Green,June,98,0,6,2023,June_2023
Hood Head,Green,June,13,0,6,2023,June_2023
Hood Head,Blue,June,31,0,6,2023,June_2023
Hood Head,Blue,June,34,0,6,2023,June_2023
Hood Head,Blue,June,44,0,6,2023,June_2023
Hood Head,Blue,June,70,0,6,2023,June_2023
Hood Head,Blue,June,54,0,6,2023,June_2023
Hood Head,Blue,June,43,0,6,2023,June_2023
Hood Head,Blue,June,61,0,6,2023,June_2023
Hood Head,Blue,June,73,0,6,2023,June_2023
Hood Head,Red,June,23,0,6,2023,June_2023
Hood Head,Red,June,28,0,6,2023,June_2023
Hood Head,Red,June,33,0,6,2023,June_2023
Hood Head,Red,June,36,0,6,2023,June_2023
Hood Head,Red,June,2,0,6,2023,June_2023
Hood Head,Red,June,20,0,6,2023,June_2023
Hood Head,Red,June,24,0,6,2023,June_2023
Hood Head,Red,June,27,0,6,2023,June_2023
Thorndyke Bay,Green,June,69,0,6,2023,June_2023
Thorndyke Bay,Green,June,74,0,6,2023,June_2023
Thorndyke Bay,Green,June,83,0,6,2023,June_2023
Thorndyke Bay,Green,June,97,0,6,2023,June_2023
Thorndyke Bay,Green,June,67,0,6,2023,June_2023
Thorndyke Bay,Green,June,99,0,6,2023,June_2023
Thorndyke Bay,Green,June,81,0,6,2023,June_2023
Thorndyke Bay,Green,June,57,0,6,2023,June_2023
Thorndyke Bay,Blue,June,36,1,6,2023,June_2023
Thorndyke Bay,Blue,June,41,0,6,2023,June_2023
Thorndyke Bay,Blue,June,59,0,6,2023,June_2023
