Site,Colour,Month,Year,Morts
Chelsea,Blue,May,2023,0
Chelsea,Blue,June,2023,1
Chelsea,Blue,July,2023,3
Chelsea,Blue,August,2023,106
Chelsea,Blue,September,2023,59
Chelsea,Blue,October,2023,57
Chelsea,Green,May,2023,0
Chelsea,Green,June,2023,3
Chelsea,Green,July,2023,11
Chelsea,Green,August,2023,41
Chelsea,Green,September,2023,53
Chelsea,Green,October,2023,46
Chelsea,Red,May,2023,0
Chelsea,Red,June,2023,1
Chelsea,Red,July,2023,7
Chelsea,Red,August,2023,56
Chelsea,Red,September,2023,54
Chelsea,Red,October,2023,28
Hood Head,Blue,May,2023,0
Hood Head,Blue,June,2023,0
Hood Head,Blue,July,2023,0
Hood Head,Blue,August,2023,1
Hood Head,Blue,September,2023,10
Hood Head,Blue,October,2023,14
Hood Head,Green,May,2023,0
Hood Head,Green,June,2023,0
Hood Head,Green,July,2023,0
Hood Head,Green,August,2023,0
Hood Head,Green,September,2023,5
Hood Head,Green,October,2023,9
Hood Head,Red,May,2023,0
Hood Head,Red,June,2023,0
Hood Head,Red,July,2023,0
Hood Head,Red,August,2023,2
Hood Head,Red,September,2023,7
Hood Head,Red,October,2023,7
Manchester,Blue,May,2023,0
Manchester,Blue,June,2023,0
Manchester,Blue,July,2023,0
Manchester,Blue,August,2023,1
Manchester,Blue,September,2023,0
Manchester,Blue,October,2023,2
Manchester,Green,May,2023,1
Manchester,Green,June,2023,0
Manchester,Green,July,2023,0
Manchester,Green,August,2023,2
Manchester,Green,September,2023,1
Manchester,Green,October,2023,3
Manchester,Red,May,2023,1
Manchester,Red,June,2023,0
Manchester,Red,July,2023,1
Manchester,Red,August,2023,0
Manchester,Red,September,2023,2
Manchester,Red,October,2023,2
Thorndyke,Blue,May,2023,0
Thorndyke,Blue,June,2023,2
Thorndyke,Blue,July,2023,2
Thorndyke,Blue,August,2023,1
Thorndyke,Blue,September,2023,1
Thorndyke,Blue,October,2023,0
Thorndyke,Green,May,2023,2
Thorndyke,Green,June,2023,0
Thorndyke,Green,July,2023,1
Thorndyke,Green,August,2023,1
Thorndyke,Green,September,2023,1
Thorndyke,Green,October,2023,4
Thorndyke,Red,May,2023,0
Thorndyke,Red,June,2023,2
Thorndyke,Red,July,2023,0
Thorndyke,Red,August,2023,1
Thorndyke,Red,September,2023,0
Thorndyke,Red,October,2023,2
Chelsea,Blue,May,2024,8
Chelsea,Blue,June,2024,5
Chelsea,Blue,July,2024,23
Chelsea,Green,May,2024,21
Chelsea,Green,June,2024,8
Chelsea,Green,July,2024,33
Chelsea,Red,May,2024,17
Chelsea,Red,June,2024,21
Chelsea,Red,July,2024,68
Hood Head,Blue,May,2024,4
Hood Head,Blue,June,2024,8
Hood Head,Blue,July,2024,6
Hood Head,Green,May,2024,7
Hood Head,Green,June,2024,7
Hood Head,Green,July,2024,6
Hood Head,Red,May,2024,1
Hood Head,Red,June,2024,6
Hood Head,Red,July,2024,9
Manchester,Blue,May,2024,11
Manchester,Blue,June,2024,2
Manchester,Blue,July,2024,3
Manchester,Green,May,2024,10
Manchester,Green,June,2024,2
Manchester,Green,July,2024,0
Manchester,Red,May,2024,3
Manchester,Red,June,2024,0
Manchester,Red,July,2024,0
Thorndyke,Blue,May,2024,16
Thorndyke,Blue,June,2024,0
Thorndyke,Blue,July,2024,6
Thorndyke,Green,May,2024,2
Thorndyke,Green,June,2024,3
Thorndyke,Green,July,2024,18
Thorndyke,Red,May,2024,12
Thorndyke,Red,June,2024,6
Thorndyke,Red,July,2024,29
