"","X","Site","Date","pH","Year","Month","Month_Year"
"1",1,"Thorndyke","2-Aug-23",7.68049675,2023,8,"2023-08"
"2",2,"Thorndyke","2-Aug-23",7.692452166,2023,8,"2023-08"
"3",3,"Chelsea","1-Aug-23",8.005072997,2023,8,"2023-08"
"4",4,"Chelsea","1-Aug-23",8.011368026,2023,8,"2023-08"
"5",5,"Hood Head","7-Aug-23",7.841058976,2023,8,"2023-08"
"6",6,"Hood Head","7-Aug-23",7.841291074,2023,8,"2023-08"
"7",7,"Thorndyke","2-Aug-23",7.993991903,2023,8,"2023-08"
"8",8,"Thorndyke","2-Aug-23",7.972949864,2023,8,"2023-08"
"9",9,"Manchester","8-Aug-23",7.742381556,2023,8,"2023-08"
"10",10,"Manchester","8-Aug-23",7.742381556,2023,8,"2023-08"
"11",11,"Thorndyke","2-Aug-23",8.310133547,2023,8,"2023-08"
"12",12,"Thorndyke","2-Aug-23",8.303039693,2023,8,"2023-08"
"13",13,"Chelsea","1-Aug-23",8.274438348,2023,8,"2023-08"
"14",14,"Chelsea","1-Aug-23",8.258274318,2023,8,"2023-08"
"15",15,"Chelsea","1-Aug-23",8.388055164,2023,8,"2023-08"
"16",16,"Chelsea","1-Aug-23",8.27622934,2023,8,"2023-08"
"17",17,"Thorndyke","2-Aug-23",8.390142927,2023,8,"2023-08"
"18",18,"Thorndyke","2-Aug-23",8.405472861,2023,8,"2023-08"
"19",19,"Thorndyke","2-Aug-23",8.404583991,2023,8,"2023-08"
"20",20,"Thorndyke","2-Aug-23",8.387498245,2023,8,"2023-08"
"21",21,"Manchester","8-Aug-23",7.762565717,2023,8,"2023-08"
"22",22,"Manchester","8-Aug-23",7.756073858,2023,8,"2023-08"
"23",23,"Hood Head","7-Aug-23",7.833105138,2023,8,"2023-08"
"24",24,"Hood Head","7-Aug-23",7.836043561,2023,8,"2023-08"
"25",25,"Thorndyke","2-Aug-23",8.366231545,2023,8,"2023-08"
"26",26,"Thorndyke","2-Aug-23",8.401008511,2023,8,"2023-08"
"27",27,"Manchester","7-Jul-23",7.724074631,2023,7,"2023-07"
"28",28,"Chelsea","6-Jul-23",8.408073391,2023,7,"2023-07"
"29",29,"Chelsea","6-Jul-23",8.406530796,2023,7,"2023-07"
"30",30,"Thorndyke","5-Jul-23",8.64087852,2023,7,"2023-07"
"31",31,"Thorndyke","5-Jul-23",8.642091924,2023,7,"2023-07"
"32",32,"Chelsea","6-Jul-23",8.24618701,2023,7,"2023-07"
"33",33,"Chelsea","6-Jul-23",8.246963355,2023,7,"2023-07"
"34",34,"Thorndyke","5-Jul-23",8.670918471,2023,7,"2023-07"
"35",35,"Thorndyke","5-Jul-23",8.664957844,2023,7,"2023-07"
"36",36,"Chelsea","6-Jul-23",8.301642819,2023,7,"2023-07"
"37",37,"Chelsea","6-Jul-23",8.299451644,2023,7,"2023-07"
"38",38,"Hood Head","17-Jul-23",8.084370161,2023,7,"2023-07"
"39",39,"Hood Head","17-Jul-23",8.094687476,2023,7,"2023-07"
"40",40,"Manchester","7-Jul-23",7.790931058,2023,7,"2023-07"
"41",41,"Chelsea","6-Jul-23",8.186866139,2023,7,"2023-07"
"42",42,"Chelsea","6-Jul-23",8.179620588,2023,7,"2023-07"
"43",43,"Hood Head","17-Jul-23",8.080611683,2023,7,"2023-07"
"44",44,"Hood Head","17-Jul-23",8.098648917,2023,7,"2023-07"
"45",45,"Thorndyke","5-Jul-23",8.359073016,2023,7,"2023-07"
"46",46,"Thorndyke","5-Jul-23",8.368921654,2023,7,"2023-07"
"47",47,"Thorndyke","5-Jul-23",8.571381912,2023,7,"2023-07"
"48",48,"Thorndyke","5-Jul-23",8.546752486,2023,7,"2023-07"
"49",49,"Thorndyke","5-Jul-23",8.642208779,2023,7,"2023-07"
"50",50,"Thorndyke","5-Jul-23",8.597881255,2023,7,"2023-07"
"51",51,"Thorndyke","5-Jun-23",8.577376923,2023,6,"2023-06"
"52",52,"Thorndyke","5-Jun-23",8.717454143,2023,6,"2023-06"
"53",53,"Thorndyke","5-Jun-23",8.778075811,2023,6,"2023-06"
"54",54,"Chelsea","6-Jun-23",8.096104311,2023,6,"2023-06"
"55",55,"Chelsea","6-Jun-23",8.055153868,2023,6,"2023-06"
"56",56,"Chelsea","6-Jun-23",8.207296889,2023,6,"2023-06"
"57",57,"Chelsea","6-Jun-23",8.13267203,2023,6,"2023-06"
"58",58,"Chelsea","6-Jun-23",8.164150992,2023,6,"2023-06"
"59",59,"Chelsea","6-Jun-23",8.164150992,2023,6,"2023-06"
"60",60,"Chelsea","6-Jun-23",8.10937209,2023,6,"2023-06"
"61",61,"Chelsea","6-Jun-23",8.138380076,2023,6,"2023-06"
"62",62,"Hood Head","16-Jun-23",8.192311749,2023,6,"2023-06"
"63",63,"Hood Head","16-Jun-23",8.193155298,2023,6,"2023-06"
"64",64,"Hood Head","16-Jun-23",8.221135666,2023,6,"2023-06"
"65",65,"Hood Head","16-Jun-23",8.238937717,2023,6,"2023-06"
"66",66,"Thorndyke","5-Jun-23",8.480800456,2023,6,"2023-06"
"67",67,"Thorndyke","5-Jun-23",8.964196863,2023,6,"2023-06"
"68",68,"Manchester","18-May-23",8.129224128,2023,5,"2023-05"
"69",69,"Manchester","18-May-23",8.125550858,2023,5,"2023-05"
"70",70,"Manchester","18-May-23",8.139931862,2023,5,"2023-05"
"71",71,"Manchester","18-May-23",8.121648738,2023,5,"2023-05"
"72",72,"Manchester","12-Jun-23",7.95207479,2023,6,"2023-06"
"73",73,"Manchester","12-Jun-23",7.954415783,2023,6,"2023-06"
"74",74,"Manchester","12-Jun-23",7.900105505,2023,6,"2023-06"
"75",75,"Manchester","12-Jun-23",7.88456866,2023,6,"2023-06"
"76",76,"Manchester","18-May-23",7.905728575,2023,5,"2023-05"
"77",77,"Thorndyke","5-Jun-23",8.508719256,2023,6,"2023-06"
"78",78,"Hood Head","12-May-23",8.218855221,2023,5,"2023-05"
"79",79,"Hood Head","12-May-23",8.235272351,2023,5,"2023-05"
"80",80,"Hood Head","12-May-23",8.268050295,2023,5,"2023-05"
"81",81,"Hood Head","12-May-23",8.265691304,2023,5,"2023-05"
