,Date.Time..GMT.07.00,DO_mgL,Temp_C,X.,datetime,Site,date
1,5/10/2023 17:09,8.06,30.48,NA,5/10/2023 17:09,Chelsea,5/10/2023
2,5/10/2023 17:10,NA,NA,NA,5/10/2023 17:10,Chelsea,5/10/2023
3,5/10/2023 17:24,8.22,28.36,NA,5/10/2023 17:24,Chelsea,5/10/2023
4,5/10/2023 17:39,9.4,26.68,NA,5/10/2023 17:39,Chelsea,5/10/2023
5,5/10/2023 17:54,12.74,18.28,NA,5/10/2023 17:54,Chelsea,5/10/2023
6,5/10/2023 18:09,12.76,16.68,NA,5/10/2023 18:09,Chelsea,5/10/2023
7,5/10/2023 18:24,12.89,15.62,NA,5/10/2023 18:24,Chelsea,5/10/2023
8,5/10/2023 18:39,13.23,15.08,NA,5/10/2023 18:39,Chelsea,5/10/2023
9,5/10/2023 18:54,13.22,15.16,NA,5/10/2023 18:54,Chelsea,5/10/2023
10,5/10/2023 19:09,12.97,15.12,NA,5/10/2023 19:09,Chelsea,5/10/2023
11,5/10/2023 19:24,12.86,14.28,NA,5/10/2023 19:24,Chelsea,5/10/2023
12,5/10/2023 19:39,13.14,13.66,NA,5/10/2023 19:39,Chelsea,5/10/2023
13,5/10/2023 19:54,12.96,13.74,NA,5/10/2023 19:54,Chelsea,5/10/2023
14,5/10/2023 20:09,13.27,14.48,NA,5/10/2023 20:09,Chelsea,5/10/2023
15,5/10/2023 20:24,12.49,13.5,NA,5/10/2023 20:24,Chelsea,5/10/2023
16,5/10/2023 20:39,12.6,12.48,NA,5/10/2023 20:39,Chelsea,5/10/2023
17,5/10/2023 20:54,12.81,12.52,NA,5/10/2023 20:54,Chelsea,5/10/2023
18,5/10/2023 21:09,11.94,11.98,NA,5/10/2023 21:09,Chelsea,5/10/2023
19,5/10/2023 21:24,12.27,11.62,NA,5/10/2023 21:24,Chelsea,5/10/2023
20,5/10/2023 21:39,12.33,11.62,NA,5/10/2023 21:39,Chelsea,5/10/2023
21,5/10/2023 21:54,12.37,11.56,NA,5/10/2023 21:54,Chelsea,5/10/2023
22,5/10/2023 22:09,12.34,11.44,NA,5/10/2023 22:09,Chelsea,5/10/2023
23,5/10/2023 22:24,12.32,11.4,NA,5/10/2023 22:24,Chelsea,5/10/2023
24,5/10/2023 22:39,12.01,11.32,NA,5/10/2023 22:39,Chelsea,5/10/2023
25,5/10/2023 22:54,11.69,10.96,NA,5/10/2023 22:54,Chelsea,5/10/2023
26,5/10/2023 23:09,11.47,10.84,NA,5/10/2023 23:09,Chelsea,5/10/2023
27,5/10/2023 23:24,11.51,10.8,NA,5/10/2023 23:24,Chelsea,5/10/2023
28,5/10/2023 23:39,11.45,10.78,NA,5/10/2023 23:39,Chelsea,5/10/2023
29,5/10/2023 23:54,11.5,10.7,NA,5/10/2023 23:54,Chelsea,5/10/2023
30,5/11/2023 0:09,11.63,10.68,NA,5/11/2023 0:09,Chelsea,5/11/2023
31,5/11/2023 0:24,11.59,10.64,NA,5/11/2023 0:24,Chelsea,5/11/2023
32,5/11/2023 0:39,11.63,10.64,NA,5/11/2023 0:39,Chelsea,5/11/2023
33,5/11/2023 0:54,11.64,10.62,NA,5/11/2023 0:54,Chelsea,5/11/2023
34,5/11/2023 1:09,11.58,10.62,NA,5/11/2023 1:09,Chelsea,5/11/2023
35,5/11/2023 1:24,11.63,10.62,NA,5/11/2023 1:24,Chelsea,5/11/2023
36,5/11/2023 1:39,11.68,10.6,NA,5/11/2023 1:39,Chelsea,5/11/2023
37,5/11/2023 1:54,11.65,10.6,NA,5/11/2023 1:54,Chelsea,5/11/2023
38,5/11/2023 2:09,11.65,10.62,NA,5/11/2023 2:09,Chelsea,5/11/2023
39,5/11/2023 2:24,11.55,10.6,NA,5/11/2023 2:24,Chelsea,5/11/2023
40,5/11/2023 2:39,11.63,10.6,NA,5/11/2023 2:39,Chelsea,5/11/2023
41,5/11/2023 2:54,11.64,10.6,NA,5/11/2023 2:54,Chelsea,5/11/2023
42,5/11/2023 3:09,11.59,10.62,NA,5/11/2023 3:09,Chelsea,5/11/2023
43,5/11/2023 3:24,11.56,10.64,NA,5/11/2023 3:24,Chelsea,5/11/2023
44,5/11/2023 3:39,11.58,10.64,NA,5/11/2023 3:39,Chelsea,5/11/2023
45,5/11/2023 3:54,11.59,10.64,NA,5/11/2023 3:54,Chelsea,5/11/2023
46,5/11/2023 4:09,11.56,10.64,NA,5/11/2023 4:09,Chelsea,5/11/2023
47,5/11/2023 4:24,11.47,10.64,NA,5/11/2023 4:24,Chelsea,5/11/2023
48,5/11/2023 4:39,11.46,10.66,NA,5/11/2023 4:39,Chelsea,5/11/2023
49,5/11/2023 4:54,11.59,10.64,NA,5/11/2023 4:54,Chelsea,5/11/2023
50,5/11/2023 5:09,11.68,10.64,NA,5/11/2023 5:09,Chelsea,5/11/2023
